verbe	lemme
luttant	lutter
mettant	mettre
mettant	mettre
modelant	modeler
mordue	mordre
mort;	mourir
mourant	mourir
mourant	mourir
mourant	mourir
mourant	mourir
naviguant	naviguer
naviguant	naviguer
NOURRI	nourir
offrant	offrir
peinte	peindre
peints	peindre
personnifiée	personnifier
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
portant	porter
présentant	présenter
prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
Prétendu	prétendre
prétendu	prétendre
prétendu	prétendre
pris	prendre
recevant	recevoir
recevant	recevoir
redemande	redemander
redemandent	redemander
relevant	relever
réparant	réparer
retirant	retirer
revenant	revenir
revêtu	revêtir
sacrifiant	sacrifier
sacrifiant	sacrifier
sacrifiant	sacrifier
sacrifiant	sacrifier
sacrifiant	sacrifier
sauve	sauver
secourt	secourir
servi	servir
sortant	sortir
soutenant	soutenir
statufié	statufier
surpris	surprendre
suspendus	suspendre
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tenant	tenir
tirant	tirer
tirant	tirer
tirant	tirer
tirant	tirer
tombé	tomber
tonnant	tonner
tordant	torder
touchant	toucher
traînant	traîner
traîné	traîner
traîné	traîner
traîné	traîner
traîné	traîner
travaillant	travailler
travaillant	travailler
travaillant	travailler
trône	trôner
tuant	tuer
vaincu	vaincre
venant	venir
versant	verser
vêtu	vêtir
