source	balise	occurrence	texte
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	copie de l'œuvre de Crésilas
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	frises du Parthénon
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	frontons du temple de Delphes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	gladiateur Borghèse
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	groupe de Jupiter et Ganymède
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	groupe du Laocoon
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	plinthe de la Vénus de Médicis
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue colossale de Minerve
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Adrien
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Alexandre le Grand
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Amazone combattant Hercule
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Apollon
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Apollon à Argos
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue d'Esculape
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Esculape, en bois de cèdre
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Esculape, à Titane
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Harmonie
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue d'Hercule
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Hercule en fer
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'Isis
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'amazone blessée
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue d'athlète
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'homme mourant
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'un Alexibius d'Hérœa
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'un Démarate
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'un Publius Cornélius Scipion
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'un singe
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue d'un singe en cipolin
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Battus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Billienus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Bycellus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Cynisca
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Cérès
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Diagoras
MTAL_00026_propre_A_C_AV	Appellation Structuree	3	statue de Diane
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Diane Leucophryne
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Diane Soteria
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Diane en or et en ivoire
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Dinolochus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Discobole
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Germanicus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Junon
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Junon en bois
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue de Jupiter
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Jupiter couronné de fleurs
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Latonne
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Mars, du musée du Louvre
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue de Mercure
MTAL_00026_propre_A_C_AV	Appellation Structuree	4	statue de Minerve
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Minerve en bois
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Minerve en or
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statue de Muse
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Paulus Fabius Maximus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Q. Cœcilius Rufinus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Sparte
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Symmaque
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Séleucus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Tellias
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de Vénus Coliade
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de la Fortune tenant Plutus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue de la déesse Cybèle
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue des Grâces
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue du devin Tellias
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue du héros combattant
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue du légat C. Billienus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue en bronze d'Apollon
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue en bronze de l'orateur Périclès
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue en bronze de l'orateur athénien Stratoclès
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statue en marbre de Vénus accroupie
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statuede Cotys IV
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues d'Anochus
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues d'Esculape
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues d'Harmodius et d'Aristogiron
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues d'athlètes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de Muses
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de Muses appelées les Thespiades
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de comédiens et d'athlètes
MTAL_00026_propre_A_C_AV	Appellation Structuree	2	statues de courtisanes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de danseuses lacédémoniennes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de héros
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues de jeunes Faunes
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues des Spartiates
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues du devin Tellias
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues en bois de l'orateur Lycurgue et de ses enfants
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues en bronze de Jupiter
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	statues en bronze de Spartiates
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	taureau Farnèse
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	torse d'Hercule au repos
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	tète d'Auguste
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	tète d'Auguste en bronze
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	tête d'Auguste
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	tête d'Auguste en bronze
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	tête d'une Diane de Timothée
MTAL_00026_propre_A_C_AV	Appellation Structuree	1	une statue de Minerve
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	Vénus célèbre, dite Vénus aux jardins
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	beau groupe du Laocoon
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	beau torse d'Hercule au repos, connu sous le nom de Torse du Belvédère
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	belle statue de Minerve
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	belle tête d'Auguste en bronze
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	fameux Colosse de Rhodes
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	statue de Diane Soteria (conservatrice)
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	statue de l'orateur romain, dit Germanicus, au musée du Louvre
MTAL_00026_propre_A_C_AV	Appellation Enrichie	1	statue du héros combattant connu sous le nom de gladiateur Borghèse
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	 deux coupes que Germanicus avait possédées
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	 à Chio, une Diane
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ACESTOR de Cnosse, cité par Pausanias comme étant Fauteur d'une statue d'un Alexibius d'Hérœa
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ADAMAS d'Athènes, fils d'un Adamas, exécuta avec ses frères, Dionysodore et Moschion, une statue d'Isis érigée à Délos
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AGASIAS d'Éphèse, fils de Dosithée, est l'auteur de la statue du héros combattant connu sous le nom de gladiateur Borghèse, qui est au musée du Louvre
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AGATHOCLÈS d'Athènes était, d'après une inscription, l'auteur de l'Anathema
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AGORACRITE de Paros, élève de Phidias et émule d'Alcamènes, travailla aux frises du Parthénon
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AGÉLADAS Ier d'Argos, fut le maître de Phidias, de Polyclète, de Myron et d'Ascarus de Thèbes. Il fit les statues d'Anochus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AGÉSANDRE de Rhodes, exécuta avec ses fils, Polydore et Athénodore, le Laocoon, qui était dans le palais de Titus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ALCON, est cité par Pline comme ayant fait une statue d'Hercule en fer
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ALTIMUS ou HALTIMUS d'Égine, était l'auteur d'une statue de Vénus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ALYPUS de Sicyone, élève de Naucydes d'Argos, fit plusieurs statues des Spartiates
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ALÉVAS, est cité par Pline au nombre des artistes qui ont le mieux représenté, en bronze, les philosophes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AMMONIUS et PHYDIAS, fils d'un Phydias, ont fait la statue d'un singe en cipolin, qui se trouvait dans le Capitole
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AMPHICRATES, était l'auteur d'une lionne, monument élevé par les Athéniens a la mémoire de la courtisane Leæna (la lionne)
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AMPHISTRATE. On avait de lui une statue de l'historien Callisthènes, placée dans les jardins Serviliens sur les bords du Tibre
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AMYCLiEUS et DYULLUS de Corinthe, firent, d'après Pausanias, la statue du devin Tellias
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANAXAGORE d'Egine, est cité par Pausanias, Hérodote et Anacréon. Il était l'auteur d'une statue de Jupiter, que les Grecs placèrent à Egine
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANAXIMÈNE de Milet, fils d'Eurystratos, statuaire de l'époque romaine, est l'auteur d'une statue de Q. Cœcilius Rufinus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANDAAGORAS de Rhodes, fils d'Aristide, est l'auteur d'une statue en bronze de l'orateur athénien Stratoclès
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANDROBULE, est cité par Pline comme'ayant fait avec grand succès des statues de philosophes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANDRON, fit une statue d'Harmonie
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANGÉLION et TECTÉE, élèves de Dipène et de Scyllis. Ils firent Four Délos un Apollon colossal
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTIGONE, exécuta, d'après l'inscription retrouvée sur une base antique, la statuede Cotys IV
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTIGONE, représenta, selon Pline, les combats d'Eumène et d'Attale Ier, rois de Pergame, contre les Gaulois
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTIOCHUS d'Athènes, sculpteur dont le nom se trouve gravé sur un fragment d'une statue colossale de Minerve qui se trouve à Rome
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTIPHANE d'Argos fut, d'après Pausanias, le disciple de Périclète et le maître de Cléon. On lui devait des statues de héros
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTIPHANE, fils de Trasonidès de Paros, nous est connu d'après une inscription gravée sur la plinthe d'une statue de Mercure
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ANTÉNOR, fils d'Euphranor, lit selon Pausanias les statues d'Harmodius et d'Aristogiron
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	APOLLONIUS d'Athènes, fils de Xamus. On lui doit comme au précédent, une tète d'Auguste en bronze, trouvée à Herculanum
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	APOLLONIUS, fils cTArchias d'Athènes, est l'auteur d'une belle tête d'Auguste en bronze, découverte à Herculanum
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARCHIDAMUS, fils de Nicomaque, est l'auteur de deux statues élevées à I ibère et à son fils Julius Drusus César
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARCÉSILAS ou ARCESILAUS, fils d'Aristodicus, est cité par Diogène Laërce comme ayant fait une statue de Diane
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARCÉSILAS ou ARCHÉSITAS. Pline le cite comme l'auteur d'un groupe, les Centaures portant des nymphes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARGUS, statuaire des temps mythologiques, cité par Clément d'Alexandrie comme ayant été l'auteur d'une statue de Junon en bois
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTANDRE de Paros, fils de Scopas, restaura une statue de Billienus, légat d'Auguste, faite par Agasias
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTANDRE de Paros, vivait, d'après Pausanias, dans la olympiade av. J.-C.). Il fit une statue de Sparte, tenant une lyre
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTEAS et PAPPIAS, sculpteurs d'Aphrodisias, en Phrygie, connus d'après une inscription gravée sur des centaures en marbre noir
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOCLÈS d'Athènes, est l'auteur d'une figure de guerrier en bas-relief sur un monument funèbre consacré à un personnage nommé Ariston
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOCLÈS de Sicyone, fils de Cléœtas, petit-fils d'Aristoclès de Cydonie, et frère de Canachus l'Ancien. On avait de lui une statue de Muse
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOCLËS de Cydonie, en Crète, nommé, aussi de Sicyone parce qu'il travailla dans cette ville, était Fauteur d'une statue d'Amazone combattant Hercule
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTODÈME, excellait, selon Pline, à représenter les athlètes, les philosophes et les vieilles femmes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOGITON et HYPATODORE, de Thèbes, sont cités comme ayant fait la statue d'un habitant d 'Orchomène
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOMÈDE et SOCRATE de Thèbes, firent ensemble, selon Pausanias, une statue de la déesse Cybèle, consacrée par Pindare
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOMÉDON d'Argos, cité par Pausanias comme ayant exécuté des statues du devin Tellias
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTON de Laconie, frère d'un Télestas, serait l'auteur d'un Jupiter colossal
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTONIDAS, fit, selon Pline, une statue ea fer et en bronze, représentant Athamas, roi d'Orchomène
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTONUS d'Egine, aurait été l'auteur d'une statue de Jupiter couronné de fleurs
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARISTOTE de Clitore, en Arcadie, sculpteur et orfèvre, fit un grand vase qui était placé dans le temple de Minerve à Tégée
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ARTEMON, cité par Pline, comme ayant exécuté avec Pythodore, des statues qui ornaient le palais des Césars
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ASCARUS de Thèbes, élève de Canachus ou d'Agéladas, est cité par Pausanias comme l'auteur d'un Jupiter consacré par les Thessaliens à Olympie
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ATTALUS d'Athènes, cité par Pausanias comme l'auteur d'une statue d'Apollon à Argos
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	ATTICIANUS ou ATTILIAN US d'Aphrcdisias en Phrygie, est l'auteur d'une statue de Muse
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AULANIUS ÉVANDER d'Athènes, sculpteur et orfèvre, cité par Pline, comme ayant refait la tête d'une Diane de Timothée
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	AULUS PANTULÉIUS, fils de Caius Pantuléius d'Éphèse, est cité par une inscription, comme étant l'auteur d'une statue d'Adrien
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Alcamènes qui, le premier dans un groupe placé à Athènes, représenta Hécate sous l'emblème de trois femmes réunies par le dos
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Apollon Dydiméen colossal qu'on adorait à Milet
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Apollon Isménien en bois de cèdre, placé près de la ville de Thèbes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Apollon et une Junon qui étaient à Rome dans le temple de la Concorde
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	BATHYCLÈS de Magnésie, sur le Méandre, élève de Tectée. Il fit à Amyclée le trône de l'antique statue en bronze d'Apollon
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	BATTON, est cité par Pline comme ayant fait un Apollon et une Junon
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	BROTÉAS, fils de Tantale, artiste des temps mythologiques, auquel on attribue, d'après Pausanias, la plus ancienne statue de la mère des dieux, la Cybèle Bérécynthienne
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	BRYAXIS, cité par Pline. On voyait de lui, à Rhodes, cinq colosses de dieux
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	BYZÈS de Naxos, sculpteur et architecte, fit une statue de Latonne et de ses enfants
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	C RISIAS de Cydonie, auteur d'un trépied consacré à Minerve parle fils d'un Théomneste 
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALAMIS, sculpteur et orfèvre, maître de Praxias, vivait au se siècle av. J.-G. On vantait beaucoup sa statue d'Apollon
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALLICLÈS de Mégare, fils de Théocosme, représenta des philosophes. Il avait fait aussi la statue de Diagoras
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALLIMAQUE, serait l'auteur d'un bas-relief qui, trouvé à Orta et placé au musée du Capitole, représente trois bacchantes drapées et un Faune nu
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALLISTONICUS de Thèbes, travailla pour cette ville avec Xénophon d'Athènes, à une statue de la Fortune tenant Plutus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALLITELÈS, fils et élève d'Onatas , était l'auteur d'une statue de Mercure
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALLON d'Égine, élève de Tectée et d'Angélion. On lui devait un trépied dans le temple d'Apollon, à Amyclée
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CALYNTHUS, est cité comme ayant travaillé avec Onatas (voyez ce nom). On lui devait des statues équestres
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CANACH US l'Ancien de Sicyone, fils de Cleœtas, était l'auteur d une statue de Diane en or et en ivoire
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CANTHARE de Sicyone, élève d'Eutychide. On avait de lui des statues d'athlètes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CAPHISIAS de Béotie. Ce nom a été retrouvé gravé sur la base d'une statue de vainqueur dans les jeux publics, qui a été découverte près de Tanagra
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CENCHRAMIS, cité par Pline comme ayant fait des statues de comédiens et d'athlètes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CEPHIS, aurait fait des statues d'athlètes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CHARÈS de Linde, élève de Lysippe, serait l'auteur du fameux Colosse de Rhodes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CHIMARUS (C. Julius), serait l'auteur d'une^ statue de Germanicus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CHIONIS d'Argos, fit la statue de Tellias
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CHRYSOTHÉMIS et EUTÉLIDAS d'Argos, firent la statue d'un Démarate et celle de son fils Théopompe
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CLÉOMÈNES d'Athènes, cité par Pline comme ayant fait les statues de Muses appelées les Thespiades
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CLÉOMÈNES. Ce nom se trouve gravé sur un bas-relief d'un autel cylindrique de la galerie de Florence
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CLÉON de Sicyone, élève d'Antiphane. On lui devait deux statues en bronze de Jupiter et la statue de Dinolochus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	COLOTÈS de Paros, élève de Phidias et de Pa sitéle, fit pour la ville de Cyllène en Elide, un Esculape d'or et d'ivoire
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	COPONIUS, fit en marbrer pour le théâtre de Pompée, les statues de quatorze nations vaincues par les Romains
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	COSSOTIUS CERDON (Marcus) , sculpteur grec affranchi d'un Marcus Cossutius, de la famille romaine consulaire Cossutia. Il est l'auteur de deux statues de jeunes Faunes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CRATINUS de Sparte, est peut-être Fauteur d'une statue d'athlète
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CRITON et NICOLAUS d'Athènes, sont, d'après une inscription, les auteurs des cariatides trouvées en dans la vigne de Strozzi
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CRÉSILAS, contemporain et émule de Phidias, concourut à Ephèse avec ce dernier, ainsi qu'avec Polyclète, Cydon et Phradmon, pour représenter une amazone blessée
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CTÉSIAS, sculpteur et orfèvre, cité par Pline comme ayant lait des portraits de philosophes
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CTÉSICLÈS, cité par Athénée commeayant sculpté en marbre de Paros une statue si jolie qu'un certain Clisophus, de Sélembrie
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CÉPHISODORE d'Athènes, était l'auteur d'une statue d'un Publius Cornélius Scipion
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CÉPHISODOTE l'Ancien, d'Athènes, frère de la première femme de Phocion.On voyait de lui, à Athènes, une très belle statue de Minerve
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	CÉPHISODOTE le Jeune, du bourg athénien d'Erésides, était fils de Praxitèle. Il fit, avec son frère Timarque, les statues en bois de l'orateur Lycurgue et de ses enfants
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Jupiter consacré par les Thessaliens à Olympie
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Némésis colossale qui fut placée à Rhamnus
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	On attribue aussi à Colotès la fameuse table d'or et d'ivoire qui se trouvait dans l'Hérœum à Olympie
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	On leur attribue aussi le Bacchus Indien
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Pausariias lui attribue un Apollon et un Jupiter
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Venus genitrix, qui avait été placée dans le forum de César
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	Vénus Uranie en or et en ivoire qui se trouvait à Sicyone
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	attribue encore à un Aristoclès; la restauration d'une statue de Minerve vierge, faite par Phidias
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	auteur d'une statue d'Amazone combattant Hercule
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	auteur d'une statue de Minerve en or
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	bas-relief placé à Delphes, représentant le combat d'Apollon et d'Hercule
MTAL_00026_propre_A_C_AV	Appellation Complexe	1	bas-relief représentant l'Apothéose d'Homère, qui fut découvert sur la voie Appienne près d'Albano
